Identifier,Date of Fire,Market Name,Src,State,Region ,Type of Market,LGA,Actual Start Location,Fire put out by,Reported Start Time,Reported Time Put Out,Fatalities,Looting,Reported Causes,Recurring?,When,Recurring src, Estimated Loss (N) ,Effective Use of Fire Extinguishers
,29-Jan-20,Balogun Market ,https://www.dailytrust.com.ng/how-balogun-market-traders-lost-billions-to-inferno.html,Lagos State,South-West,General Goods,Lagos Island LGA,"Anambra Plaza, Martins Street",Firefighters,3:40 PM,11:00 AM,Unknown,Unknown,Generator Fire,Yes,07-Nov-19,https://www.dailytrust.com.ng/balogun-market-fire-sanwo-olu-assures-affected-traders-of-govt-support.html, Undisclosed ,No
,02-Feb-20,Kpiri Kpiri Market,https://www.independent.ng/fire-guts-over-150-shops-in-kpirikpiri-market-abakaliki/,Ebonyi State,South-East,General Goods,Abakaliki LGA,Unspecified,Firefighters,2:00 PM,,Unknown,Yes,Illegal Bush fire,No,N/a,, Undisclosed ,No
,05-Feb-20,Eke Agbani Market,http://www.esutgist.com/2020/02/breaking-news-fire-out-break-at-eke.html?m=1,Enugu State,South-East,General Goods,Nkanu West LGA ,Unspecified,Firefighters,Morning,,No,Unknown,Unknown,No,N/a,, Undisclosed ,No
,07-Feb-20,Nkwo Nnewi Main Market,https://www.flavision.com/news/08/02/2020/goods-worth-n400m-destroyed-as-fire-guts-30-shops-in-nnewi-market/,Anambra State,South-East,Electronic Parts ,Nnewi North LGA,Unspecified,Firefighters,11:00 PM,,No,Yes,Electrical - Power Surge/Power Restoration,No,N/a,," 400,000,000.00 ",No
,11-Feb-20,Atakunmosa Central Market,https://jameelanews.ng/2020/02/breaking-fire-engulfs-atakumosa-central-market/,Osun State,South-West,General Goods,Ilesa West LGA,Unspecified,Firefighters,1:00 AM,,No,No,Unknown,No,N/a,, Undisclosed ,No
,12-Feb-20,"Mogadishu Mammy Markets, Abacha Barracks",https://punchng.com/fire-guts-military-barracks-market-in-abuja/,FCT,North-Central,General Goods,Abuja,Unspecified,Army,Morning,,No,No,Unknown,No,N/a,, Undisclosed ,No
,12-Feb-20,Iso Pako Oke-Omiru Market,,Osun State,South-West,Timber Market,Ilesa West LGA,Unspecified,Firefighters,10:00 PM,,No,No,Unknown,No,N/a,, Undisclosed ,No
,13-Feb-20,Mile 12 Market,https://www.pulse.ng/news/metro/mile-12-fire-hits-another-lagos-market/1jsj3j8,Lagos State,South-West,,Kosofe LGA,Unspecified,Firefighters,5:30 AM,7:47 AM,No,Unknown,Electrical - Power Surge/Power Restoration,Yes,13-Mar-13,https://www.pulse.ng/news/local/in-lagos-2-dead-as-fire-breaks-out-in-mile-12-market-photos/hqe5eqy, Undisclosed ,No
,16-Feb-20,Apongbon Market,https://www.pulse.ng/news/local/in-lagos-2-dead-as-fire-breaks-out-in-mile-12-market-photos/hqe5eqy,Lagos State,South-West,General Goods,Lagos Island LGA,Unspecified,Firefighters,Morning,10:45 AM,No,Unknown,Unknown,No,N/a,, Undisclosed ,No
,16-Feb-20,Nsukka Timber Market,https://www.vanguardngr.com/2020/02/fire-guts-nsukka-timber-market/,Enugu State,South-East,Timber Market,Nsukka LGA,,,5:30 AM,,,,,,,," 8,000,000.00 ",
